Date,Severity,Size,Intensity
2017-10-01,S1,1155994.2550057904,1637850.9342680501
2017-10-01,S2,39033.71126146934,98300.08053057578
2017-10-02,S1,470673.7354499517,675323.2132716693
2017-10-02,S2,32576.124855072645,79808.75258133473
2017-10-03,S1,519476.65833972924,735309.0136711767
2017-10-03,S2,27261.545387345977,66570.60149716813
2017-10-04,S1,540369.7414940824,761207.8714544025
2017-10-04,S2,31561.07280761233,76001.02561828331
2017-10-05,S1,573794.3492291254,790697.4326627491
2017-10-05,S2,30410.630008935022,76679.5024083239
2017-10-06,S1,294477.40256254724,452855.1059786105
2017-10-06,S2,34651.752201937066,89284.22585322036
2017-10-07,S1,302065.1122956642,461401.48213005986
2017-10-07,S2,36768.610596278515,93784.16371416737
2017-10-08,S1,4487136.822037063,6633658.098168489
2017-10-08,S2,36207.742336783354,95124.63207405971
2017-10-09,S1,5206658.267282477,8000524.100780305
2017-10-09,S2,46102.28793361655,117290.01173099554
2017-10-10,S1,309208.7375676631,486817.4336491097
2017-10-10,S2,42339.62097887597,105055.69363433184
2017-10-11,S1,314531.9585068872,484139.4106545634
2017-10-11,S2,49292.92573130119,120886.70988790596
2017-10-12,S1,358967.57014276617,507623.03751897067
2017-10-12,S2,43495.9636731124,111060.89875397456
2017-10-13,S1,396613.4625759384,606659.0204821428
2017-10-13,S2,38776.45494296556,97305.78162528305
2017-10-14,S1,5474381.078671493,8269134.636073409
2017-10-14,S2,36746.440990922514,89852.32565289192
2017-10-15,S1,6045550.290759294,9120142.209131835
2017-10-15,S2,44717.52962502965,111834.51989281083
2017-10-16,S1,2398062.313544273,3902802.5437199315
2017-10-16,S2,48915.581545921115,125593.41657399165
2017-10-17,S1,6318647.177426526,9674528.52600581
2017-10-17,S2,45193.9313773057,120796.09160967432
2017-10-18,S1,1848314.1768479908,3001237.56884636
2017-10-18,S2,93122.8128227865,232866.05548993318
2017-10-19,S1,1545267.3945150792,2376291.826795092
2017-10-19,S2,62186.015613157804,164222.47959541966
2017-10-20,S1,589727.8230780326,914549.8994475515
2017-10-20,S2,65881.16422740555,175827.09293158917
2017-10-21,S1,693065.693134671,1056191.7500196523
2017-10-21,S2,61178.22521257979,158671.78229896296
2017-10-22,S1,623326.5394121062,884477.0639142444
2017-10-22,S2,52113.20912549587,133759.58686587212
2017-10-23,S1,1168228.7262837403,1840152.3411475162
2017-10-23,S2,49374.74847930324,134012.8711377336
2017-10-24,S1,606927.9240485219,950871.1934587552
2017-10-24,S2,40229.250326866684,104676.7256908278
2017-10-25,S1,513922.3702005818,753110.8001189422
2017-10-25,S2,37459.52455008095,90244.18897643614
2017-10-26,S1,572066.2994197857,881286.8366409983
2017-10-26,S2,50752.93079969787,124822.33513558243
2017-10-27,S1,1816147.403742796,2773191.7948793597
2017-10-27,S2,44670.99638800767,112217.33898971006
2017-10-28,S1,2963551.1602058993,4643809.780955201
2017-10-28,S2,46397.24566877632,118799.66928416249
2017-10-29,S1,3717191.0578801683,6027701.726169859
2017-10-29,S2,95497.75136033015,227325.34253357875
2017-10-30,S1,6159978.200656469,9574006.184296327
2017-10-30,S2,129500.77539797229,324472.87466406246
2017-10-31,S1,6813951.2796548195,10028457.894723086
2017-10-31,S2,168121.817376967,431645.8214226179
2017-11-01,S1,6932495.584802245,10045536.511138517
2017-11-01,S2,237572.2532384329,608349.4743530285
2017-11-02,S1,8948953.78681823,13102079.402123107
2017-11-02,S2,369290.9969633977,995093.1530039291
2017-11-03,S1,4396628.74554033,6195557.361715124
2017-11-03,S2,325719.9902802211,860094.0045729878
2017-11-04,S1,1254095.922218328,2052797.2715888391
2017-11-04,S2,162704.06395839798,403146.95138688426
2017-11-05,S1,958776.7399690676,1509759.767331384
2017-11-05,S2,131065.37967628558,332892.8660942307
2017-11-06,S1,666466.3767504925,976457.3345045123
2017-11-06,S2,71279.9383321117,174632.52349684504
2017-11-07,S1,335064.031408669,522171.62715157104
2017-11-07,S2,51636.86238724368,122377.91093214629
2017-11-08,S1,207332.27559735443,307563.5264141489
2017-11-08,S2,17512.230299232993,40804.23384099889
