event_no,index_start,index_peak,index_end,duration,date_start,date_peak,date_end,intensity_mean,intensity_max,intensity_var,intensity_cumulative,intensity_mean_relThresh,intensity_max_relThresh,intensity_var_relThresh,intensity_cumulative_relThresh,intensity_mean_abs,intensity_max_abs,intensity_var_abs,intensity_cumulative_abs,rate_onset,rate_decline
1,553,555,558,6,1984-03-06,1984-03-08,1984-03-11,1.7101,2.456,0.5687,10.2608,0.7036,1.4516,0.5707,4.2216,17.7333,18.5,0.5853,106.4,0.5411,0.4029
2,851,855,856,6,1984-12-29,1985-01-02,1985-01-03,1.365,1.4441,0.076,8.19,0.1496,0.2226,0.0708,0.8976,16.645,16.8,0.1427,99.87,0.1749,0.1164
3,1233,1242,1242,10,1986-01-15,1986-01-24,1986-01-24,1.7853,2.2925,0.3439,17.8528,0.5747,1.1202,0.3683,5.7475,17.762,18.41,0.4398,177.62,0.1402,2.2274
4,1290,1293,1297,8,1986-03-13,1986-03-16,1986-03-20,1.6357,2.3975,0.4621,13.0858,0.6095,1.3681,0.4587,4.8763,17.3237,18.11,0.4372,138.59,0.4316,0.2591
5,1592,1597,1602,11,1987-01-09,1987-01-14,1987-01-19,1.9222,2.3321,0.3763,21.1444,0.6809,1.0847,0.3704,7.4902,17.7182,18.15,0.377,194.9,0.2006,0.1973
6,1797,1803,1814,18,1987-08-02,1987-08-08,1987-08-19,1.6308,1.8832,0.2178,29.3546,0.7468,1.0115,0.218,13.4429,11.9894,12.24,0.2003,215.81,0.1576,0.0625
7,1819,1825,1832,14,1987-08-24,1987-08-30,1987-09-06,1.1956,1.5147,0.1744,16.7389,0.2569,0.5785,0.1773,3.5964,11.6607,11.97,0.1911,163.25,0.0763,0.0762
8,1931,1935,1941,11,1987-12-14,1987-12-18,1987-12-24,1.4753,1.7692,0.2088,16.2278,0.3671,0.6812,0.2155,4.0378,16.1809,16.43,0.2689,177.99,0.1891,0.0713
9,2333,2336,2341,9,1989-01-19,1989-01-22,1989-01-27,1.6066,1.8914,0.2256,14.4591,0.4235,0.7025,0.21,3.8112,17.6911,17.95,0.1731,159.22,0.1605,0.1573
10,2422,2426,2426,5,1989-04-18,1989-04-22,1989-04-22,0.994,1.0367,0.0434,4.9702,0.0762,0.1256,0.0449,0.3808,14.946,15.08,0.0802,74.73,0.0574,0.372
11,2431,2432,2437,7,1989-04-27,1989-04-28,1989-05-03,1.0136,1.1278,0.1038,7.0951,0.1375,0.2466,0.1039,0.9622,14.4943,14.7,0.155,101.46,0.1927,0.0525
12,2624,2633,2637,14,1989-11-06,1989-11-15,1989-11-19,1.5776,2.1786,0.2311,22.0865,0.6591,1.2631,0.2318,9.227,14.48,15.19,0.3036,202.72,0.1272,0.2907
13,2713,2716,2718,6,1990-02-03,1990-02-06,1990-02-08,1.8849,2.4411,0.4283,11.3092,0.7781,1.3376,0.4294,4.6687,18.275,18.84,0.4313,109.65,0.353,0.5758
14,2727,2729,2742,16,1990-02-17,1990-02-19,1990-03-04,1.3746,2.0349,0.2639,21.9929,0.318,0.9744,0.2585,5.0873,17.7675,18.53,0.3368,284.28,0.3733,0.0842
15,3713,3725,3728,16,1992-10-30,1992-11-11,1992-11-14,1.4409,1.9155,0.3124,23.0542,0.5165,0.9985,0.3164,8.2642,14.0694,14.75,0.461,225.11,0.0743,0.1997
16,4196,4196,4201,6,1994-02-25,1994-02-25,1994-03-02,1.1826,1.2963,0.0922,7.0954,0.1236,0.231,0.0882,0.7419,17.5267,17.71,0.1385,105.16,0.5489,0.1374
17,4521,4523,4528,8,1995-01-16,1995-01-18,1995-01-23,1.4213,1.5808,0.1491,11.3707,0.2102,0.3553,0.1401,1.6812,17.3988,17.52,0.1377,139.19,0.189,0.0834
18,4551,4554,4558,8,1995-02-15,1995-02-18,1995-02-22,1.3097,1.4698,0.1456,10.4772,0.2478,0.4079,0.1465,1.9822,17.8013,17.97,0.1527,142.41,0.1951,0.1138
