event_no,index_start,index_peak,index_end,duration,date_start,date_peak,date_end,intensity_mean,intensity_max,intensity_var,intensity_cumulative,intensity_mean_relThresh,intensity_max_relThresh,intensity_var_relThresh,intensity_cumulative_relThresh,intensity_mean_abs,intensity_max_abs,intensity_var_abs,intensity_cumulative_abs,rate_onset,rate_decline
1,551,555,559,9,1984-03-04,1984-03-08,1984-03-12,2.2743,3.2471,0.5748,20.4687,1.1888,2.1674,0.5785,10.6995,18.1444,19.12,0.5954,163.3,0.4098,0.4322
2,851,851,858,8,1984-12-29,1984-12-29,1985-01-05,1.6931,1.8524,0.1804,13.5448,0.4158,0.5719,0.1797,3.3264,16.9762,17.07,0.1122,135.81,1.1829,0.1072
3,1233,1242,1242,10,1986-01-15,1986-01-24,1986-01-24,1.7021,2.334,0.3352,17.0209,0.4842,1.1478,0.3566,4.8416,17.611,18.37,0.4179,176.11,0.1288,2.1342
4,1292,1293,1297,6,1986-03-15,1986-03-16,1986-03-20,1.7428,2.2094,0.2934,10.4569,0.6652,1.1335,0.2949,3.9915,17.1917,17.73,0.3644,103.15,0.5157,0.257
5,1330,1335,1336,7,1986-04-22,1986-04-27,1986-04-28,1.1235,1.3243,0.1896,7.8643,0.2548,0.4611,0.1922,1.7837,14.6614,14.81,0.1892,102.63,0.1265,0.3083
6,1347,1351,1352,6,1986-05-09,1986-05-13,1986-05-14,0.9536,1.0239,0.0435,5.7219,0.1287,0.2063,0.0482,0.7722,13.7167,13.82,0.0876,82.3,0.072,0.1039
7,1592,1598,1602,11,1987-01-09,1987-01-15,1987-01-19,2.0028,2.5254,0.4729,22.031,0.7487,1.2731,0.4651,8.2354,17.7436,18.3,0.457,195.18,0.1956,0.3081
8,1797,1800,1814,18,1987-08-02,1987-08-05,1987-08-19,1.4893,2.0412,0.3327,26.8076,0.6927,1.2375,0.333,12.4691,11.6011,12.17,0.3327,208.82,0.3859,0.0816
9,1878,1880,1884,7,1987-10-22,1987-10-24,1987-10-28,1.2071,1.4136,0.1653,8.4494,0.3372,0.5549,0.1643,2.3604,13.13,13.32,0.2185,91.91,0.2122,0.1294
10,1931,1934,1941,11,1987-12-14,1987-12-17,1987-12-24,1.6952,2.0065,0.2056,18.6472,0.517,0.864,0.2217,5.6873,16.3282,16.54,0.2517,179.61,0.2768,0.12
11,2307,2311,2312,6,1988-12-24,1988-12-28,1988-12-29,1.4816,1.6395,0.1102,8.8895,0.2103,0.3594,0.1021,1.2619,16.4883,16.72,0.1884,98.93,0.1273,0.1934
12,2333,2336,2341,9,1989-01-19,1989-01-22,1989-01-27,1.6426,2.0364,0.2965,14.7835,0.4472,0.841,0.2892,4.0248,17.6489,18.02,0.255,158.84,0.2321,0.1969
13,2581,2585,2586,6,1989-09-24,1989-09-28,1989-09-29,1.1013,1.2535,0.1311,6.6076,0.2386,0.403,0.1371,1.4316,11.8417,12.03,0.1533,71.05,0.084,0.2633
14,2615,2619,2620,6,1989-10-28,1989-11-01,1989-11-02,1.2774,1.4977,0.1867,7.6641,0.3499,0.5561,0.1734,2.0991,13.5067,13.81,0.2716,81.04,0.2067,0.2926
15,2624,2633,2634,11,1989-11-06,1989-11-15,1989-11-16,1.7672,2.0294,0.2053,19.4389,0.8012,1.0608,0.2047,8.8129,14.5591,15,0.2589,160.15,0.0957,0.4821
16,2712,2716,2718,7,1990-02-02,1990-02-06,1990-02-08,1.9102,2.5214,0.4796,13.3715,0.7365,1.3504,0.4795,5.1555,18.1829,18.81,0.484,127.28,0.3206,0.6787
17,2727,2729,2736,10,1990-02-17,1990-02-19,1990-02-26,1.5368,2.1742,0.3063,15.368,0.3747,1.017,0.3088,3.7466,17.867,18.54,0.3271,178.67,0.4525,0.1378
18,2923,2924,2927,5,1990-09-01,1990-09-02,1990-09-05,1.0249,1.1146,0.0548,5.1245,0.1552,0.253,0.06,0.7761,11.306,11.38,0.0513,56.53,0.1615,0.0572
19,3713,3716,3719,7,1992-10-30,1992-11-02,1992-11-05,1.216,1.4547,0.2167,8.5118,0.2696,0.5052,0.2116,1.8872,13.5786,13.86,0.2631,95.05,0.1913,0.1842
20,3723,3725,3728,6,1992-11-09,1992-11-11,1992-11-14,1.4882,1.7066,0.2175,8.9292,0.5209,0.7385,0.2166,3.1255,14.3033,14.51,0.273,85.82,0.2671,0.1842
21,4181,4189,4190,10,1994-02-10,1994-02-18,1994-02-19,1.6912,2.3279,0.4032,16.912,0.5371,1.1705,0.4029,5.3709,18.058,18.7,0.407,180.58,0.1589,0.6097
22,4521,4522,4527,7,1995-01-16,1995-01-17,1995-01-22,1.466,1.8642,0.1857,10.2621,0.2445,0.6262,0.1753,1.7113,17.3614,17.7,0.1545,121.53,0.3727,0.113
23,4551,4554,4558,8,1995-02-15,1995-02-18,1995-02-22,1.4655,1.6079,0.1135,11.7241,0.3089,0.4505,0.114,2.4709,17.8288,17.98,0.124,142.63,0.1351,0.1095
24,4572,4576,4577,6,1995-03-08,1995-03-12,1995-03-13,1.2385,1.37,0.0886,7.4308,0.1647,0.2985,0.0895,0.9883,17.0033,17.09,0.1007,102.02,0.0486,0.4058
25,4638,4639,4642,5,1995-05-13,1995-05-14,1995-05-17,1.212,1.3664,0.1407,6.0598,0.3924,0.5489,0.1431,1.9618,13.792,14.02,0.2224,68.96,0.269,0.188
26,4900,4902,4907,8,1996-01-30,1996-02-01,1996-02-06,1.7035,2.2623,0.4453,13.6284,0.5247,1.0804,0.4418,4.1978,17.935,18.47,0.4237,143.48,0.5025,0.2143
27,5405,5416,5419,15,1997-06-18,1997-06-29,1997-07-02,1.4072,1.9225,0.3483,21.1078,0.4346,0.9304,0.3418,6.5189,12.276,12.7,0.3268,184.14,0.088,0.301
28,5477,5481,5482,6,1997-08-29,1997-09-02,1997-09-03,1.0799,1.2146,0.1081,6.4794,0.2242,0.353,0.1082,1.3451,11.3233,11.48,0.1154,67.94,0.0846,0.21560000000000001
29,5522,5526,5528,7,1997-10-13,1997-10-17,1997-10-19,1.0512,1.3281,0.2068,7.3581,0.2356,0.5114,0.2065,1.6491,12.5071,12.83,0.2588,87.55,0.1168,0.2143
30,5629,5648,5649,21,1998-01-28,1998-02-16,1998-02-17,2.2323,3.0622,0.4616,46.8777,1.0653,1.907,0.4692,22.3713,18.5186,19.44,0.5308,388.89,0.1107,0.8442
31,5665,5670,5670,6,1998-03-05,1998-03-10,1998-03-10,1.3476,1.4031,0.0695,8.0854,0.2625,0.3308,0.0801,1.5749,17.24,17.29,0.0486,103.44,0.0713,0.9366
32,5964,5966,5987,24,1998-12-29,1998-12-31,1999-01-21,1.783,2.6612,0.3397,42.7929,0.5222,1.3848,0.3371,12.5332,17.3588,17.95,0.3972,416.61,0.6061,0.0644
33,6012,6014,6017,6,1999-02-15,1999-02-17,1999-02-20,1.984,2.2638,0.3217,11.9039,0.8281,1.1072,0.3216,4.9686,18.355,18.64,0.3283,110.13,0.2915,0.2831
34,6053,6055,6057,5,1999-03-28,1999-03-30,1999-04-01,1.3725,1.4575,0.1009,6.8624,0.3848,0.4734,0.1087,1.9238,16.176,16.26,0.0789,80.88,0.2346,0.1416
35,6118,6134,6152,35,1999-06-01,1999-06-17,1999-07-05,1.3382,2.115,0.396,46.8356,0.4186,1.1828,0.3755,14.6524,12.4374,13.19,0.4254,435.31,0.0728,0.053900000000000003
36,6222,6229,6230,9,1999-09-13,1999-09-20,1999-09-21,1.254,1.8063,0.2696,11.2863,0.3347,0.8994,0.2754,3.0127,11.7867,12.4,0.3011,106.08,0.1073,0.5214
37,6240,6241,6245,6,1999-10-01,1999-10-02,1999-10-06,1.1521,1.2912,0.1137,6.9124,0.3298,0.463,0.1145,1.9791,12.0917,12.19,0.124,72.55,0.4138,0.098
38,6470,6472,6476,7,2000-05-18,2000-05-20,2000-05-24,1.4771,1.8953,0.2812,10.34,0.6485,1.0673,0.2798,4.5398,13.7414,14.21,0.2732,96.19,0.3887,0.2181
39,6578,6582,6584,7,2000-09-03,2000-09-07,2000-09-09,1.258,1.7554,0.3758,8.8062,0.3679,0.8581,0.3636,2.5751,11.5871,12.1,0.4056,81.11,0.2763,0.2995
40,6778,6782,6789,12,2001-03-22,2001-03-26,2001-04-02,1.3688,1.7565,0.2152,16.4251,0.354,0.7313,0.2164,4.2486,16.3042,16.77,0.3091,195.65,0.1849,0.1165
41,6814,6817,6822,9,2001-04-27,2001-04-30,2001-05-05,1.1483,1.3893,0.1729,10.3347,0.2879,0.5291,0.1738,2.5908,14.4133,14.7,0.1679,129.72,0.1894,0.0661
42,6826,6830,6832,7,2001-05-09,2001-05-13,2001-05-15,1.3445,1.7739,0.3357,9.4115,0.5204,0.9563,0.3406,3.643,14.0814,14.46,0.3398,98.57,0.2075,0.365
43,6850,6852,6854,5,2001-06-02,2001-06-04,2001-06-06,1.0046,1.1115,0.078,5.0231,0.1886,0.297,0.0795,0.9432,12.584,12.69,0.1006,62.92,0.1103,0.1221
44,7011,7012,7015,5,2001-11-10,2001-11-11,2001-11-14,1.2027,1.5766,0.2505,6.0133,0.235,0.6085,0.2503,1.1751,14.04,14.37,0.2384,70.2,0.4788,0.1985
45,7046,7048,7050,5,2001-12-15,2001-12-17,2001-12-19,1.6369,1.8365,0.2124,8.1844,0.4924,0.694,0.2093,2.4621,16.17,16.37,0.2479,80.85,0.3304,0.3965
46,7176,7178,7182,7,2002-04-24,2002-04-26,2002-04-30,1.3079,1.6686,0.3181,9.1553,0.444,0.8033,0.3169,3.1077,14.7543,15.16,0.3752,103.28,0.3361,0.1815
47,7194,7203,7207,14,2002-05-12,2002-05-21,2002-05-25,1.1657,1.9068,0.2713,16.3204,0.341,1.0773,0.2702,4.7746,13.5621,14.17,0.3257,189.87,0.1201,0.2284
48,7284,7286,7290,7,2002-08-10,2002-08-12,2002-08-16,1.188,1.7781,0.4044,8.3159,0.4012,0.9949,0.4064,2.8083,11.2829,11.87,0.4024,78.98,0.3981,0.2212
49,7431,7432,7435,5,2003-01-04,2003-01-05,2003-01-08,1.5328,1.6877,0.114,7.6638,0.2565,0.4109,0.1137,1.2824,17.002,17.12,0.1021,85.01,0.4126,0.1039
50,7516,7520,7524,9,2003-03-30,2003-04-03,2003-04-07,1.371,1.6973,0.1815,12.3392,0.3876,0.7151,0.1813,3.4882,15.9744,16.3,0.1686,143.77,0.1458,0.1491
51,7663,7683,7690,28,2003-08-24,2003-09-13,2003-09-20,1.7555,2.5169,0.4289,49.1527,0.8689,1.591,0.4324,24.3302,12.1043,12.97,0.4147,338.92,0.0877,0.2268
52,7794,7797,7800,7,2004-01-02,2004-01-05,2004-01-08,1.8366,2.0577,0.2217,12.8563,0.5603,0.7809,0.2214,3.9223,17.2657,17.49,0.2185,120.86,0.1694,0.2153
53,8242,8243,8247,6,2005-03-25,2005-03-26,2005-03-30,1.3341,1.6465,0.21560000000000001,8.0048,0.3252,0.6213,0.2004,1.9514,16.2683,16.66,0.2987,97.61,0.3795,0.2174
54,8404,8407,8409,6,2005-09-03,2005-09-06,2005-09-08,1.0009,1.0516,0.0566,6.0055,0.114,0.1607,0.0459,0.684,11.3217,11.39,0.0833,67.93,0.0585,0.1428
55,8459,8460,8465,7,2005-10-28,2005-10-29,2005-11-03,1.2324,1.413,0.1762,8.6271,0.3008,0.4986,0.182,2.1056,13.4886,13.69,0.1784,94.42,0.4402,0.0873
56,8472,8473,8484,13,2005-11-10,2005-11-11,2005-11-22,1.3565,2.0966,0.3578,17.6343,0.3927,1.1285,0.3553,5.1047,14.3723,14.93,0.2618,186.84,0.7222,0.0883
57,8667,8676,8680,14,2006-05-24,2006-06-02,2006-06-06,1.1362,1.4795,0.2564,15.9063,0.3168,0.6682,0.2558,4.4353,12.93,13.38,0.3273,181.02,0.0964,0.124
58,8698,8701,8702,5,2006-06-24,2006-06-27,2006-06-28,1.4367,1.7026,0.2346,7.1837,0.4545,0.7147,0.233,2.2727,12.276,12.52,0.2338,61.38,0.1893,0.4167
59,8728,8740,8742,15,2006-07-24,2006-08-05,2006-08-07,1.224,1.7612,0.3471,18.3606,0.4143,0.9575,0.3516,6.2141,11.4273,11.89,0.3044,171.41,0.0742,0.2195
60,8794,8795,8798,5,2006-09-28,2006-09-29,2006-10-02,1.3786,1.4873,0.1376,6.8931,0.539,0.6421,0.1339,2.6949,12.21,12.31,0.1247,61.05,0.4575,0.1491
61,9057,9058,9061,5,2007-06-18,2007-06-19,2007-06-22,1.2953,1.4659,0.0964,6.4764,0.3457,0.5208,0.0986,1.7283,12.282,12.48,0.1165,61.41,0.4202,0.1058
62,9068,9070,9073,6,2007-06-29,2007-07-01,2007-07-04,1.2885,1.5308,0.1687,7.731,0.2997,0.5394,0.1682,1.7979,12.0183,12.27,0.1758,72.11,0.3673,0.1223
63,9081,9085,9086,6,2007-07-12,2007-07-16,2007-07-17,1.2577,1.3661,0.072,7.546,0.3705,0.4946,0.0835,2.223,11.73,11.81,0.0616,70.38,0.0759,0.196
64,9091,9092,9095,5,2007-07-22,2007-07-23,2007-07-26,0.9844,1.1304,0.1041,4.9218,0.1628,0.3051,0.1054,0.8142,11.298,11.46,0.1026,56.49,0.2127,0.0853
65,9212,9214,9216,5,2007-11-20,2007-11-22,2007-11-24,1.2581,1.508,0.193,6.2904,0.309,0.5594,0.1965,1.545,14.54,14.79,0.2313,72.7,0.2341,0.2057
66,9338,9351,9352,15,2008-03-25,2008-04-07,2008-04-08,1.4385,2.0425,0.2389,21.5769,0.4447,1.0563,0.2467,6.6711,16.1447,16.51,0.2347,242.17,0.0759,0.6887
67,9356,9357,9360,5,2008-04-12,2008-04-13,2008-04-16,1.1652,1.3227,0.1013,5.826,0.2121,0.3602,0.103,1.0605,15.234,15.44,0.1226,76.17,0.2221,0.1071
68,9370,9372,9374,5,2008-04-26,2008-04-28,2008-04-30,1.2352,1.6294,0.2779,6.1759,0.373,0.7678,0.2772,1.8652,14.636,15.03,0.3192,73.18,0.2395,0.353
69,9420,9423,9431,12,2008-06-15,2008-06-18,2008-06-26,1.0804,1.2461,0.0829,12.9651,0.1285,0.3063,0.0884,1.5426,12.0592,12.29,0.1409,144.71,0.0882,0.0505
70,9641,9645,9645,5,2009-01-22,2009-01-26,2009-01-26,1.3873,1.6567,0.217,6.9363,0.1999,0.4749,0.2218,0.9993,17.422,17.74,0.2544,87.11,0.1591,0.6523
71,10126,10129,10131,6,2010-05-22,2010-05-25,2010-05-27,0.9902,1.0388,0.0457,5.9411,0.1616,0.2105,0.0465,0.9695,13.0767,13.15,0.0781,78.46,0.0747,0.1281
72,10314,10324,10330,17,2010-11-26,2010-12-06,2010-12-12,2.1387,3.3342,0.5715,36.3585,1.1234,2.2974,0.5894,19.0973,15.9882,17.28,0.5572,271.8,0.1932,0.3367
73,10923,10930,10935,13,2012-07-27,2012-08-03,2012-08-08,0.9653,1.227,0.123,12.5492,0.1587,0.4173,0.1203,2.0629,11.1392,11.38,0.1499,144.81,0.0473,0.0789
74,11064,11065,11069,6,2012-12-15,2012-12-16,2012-12-20,1.4316,1.7477,0.1783,8.5898,0.2798,0.6147,0.1882,1.6786,15.99,16.23,0.1731,95.94,0.4048,0.1405
75,11109,11114,11115,7,2013-01-29,2013-02-03,2013-02-04,2.0945,2.3884,0.3562,14.6613,0.9137,1.2078,0.3556,6.3959,18.3,18.63,0.3849,128.1,0.193,0.8124
76,11152,11167,11174,23,2013-03-13,2013-03-28,2013-04-04,1.5283,1.8724,0.216,35.1517,0.4923,0.8711,0.241,11.3233,16.6422,17.21,0.3127,382.77,0.053900000000000003,0.1042
77,11194,11195,11199,6,2013-04-24,2013-04-25,2013-04-29,1.1093,1.3028,0.1247,6.656,0.2448,0.4356,0.1226,1.4686,14.5783,14.84,0.1922,87.47,0.233,0.0902
78,11325,11329,11329,5,2013-09-02,2013-09-06,2013-09-06,1.0032,1.1316,0.1017,5.0162,0.1268,0.2407,0.0987,0.6341,11.3,11.46,0.1125,56.5,0.0587,0.2962
79,11352,11356,11360,9,2013-09-29,2013-10-03,2013-10-07,1.1296,1.2596,0.0992,10.1661,0.3042,0.4369,0.1093,2.7378,12.0556,12.23,0.1756,108.5,0.0832,0.1083
80,11381,11394,11409,29,2013-10-28,2013-11-10,2013-11-25,1.3704,1.9008,0.2487,39.7425,0.417,0.9343,0.2453,12.0934,14.1507,14.73,0.4145,410.37,0.0758,0.0678
81,11418,11429,11434,17,2013-12-04,2013-12-15,2013-12-20,1.8755,2.6494,0.3958,31.8838,0.7778,1.526,0.3898,13.2231,16.1435,17.08,0.5288,274.44,0.1263,0.2516
82,11635,11637,11639,5,2014-07-09,2014-07-11,2014-07-13,1.1537,1.2297,0.1128,5.7683,0.2289,0.3036,0.1036,1.1443,11.694,11.78,0.1328,58.47,0.0862,0.1501
83,11644,11645,11648,5,2014-07-18,2014-07-19,2014-07-22,1.0985,1.4067,0.1934,5.4924,0.2584,0.5621,0.1917,1.2922,11.476,11.8,0.2032,57.38,0.4231,0.1484
84,11652,11659,11666,15,2014-07-26,2014-08-02,2014-08-09,1.2952,1.6031,0.2377,19.4287,0.4894,0.7915,0.235,7.3407,11.4713,11.78,0.2526,172.07,0.107,0.106
85,11709,11711,11714,6,2014-09-21,2014-09-23,2014-09-26,1.088,1.2214,0.092,6.5281,0.2041,0.3339,0.0907,1.2246,11.7583,11.88,0.0943,70.55,0.1043,0.1388
86,11802,11807,11816,15,2014-12-23,2014-12-28,2015-01-06,1.7872,2.2795,0.4447,26.808,0.5149,0.9994,0.4423,7.7235,16.9527,17.47,0.4719,254.29,0.186,0.1251
87,11827,11840,11846,20,2015-01-17,2015-01-30,2015-02-05,2.0511,2.6807,0.4076,41.0227,0.8588,1.5,0.4164,17.1754,18.131,18.85,0.5051,362.62,0.0823,0.2348
88,11897,11900,11902,6,2015-03-28,2015-03-31,2015-04-02,1.2534,1.3285,0.0728,7.5206,0.2668,0.3486,0.0744,1.6005,16.0317,16.17,0.1386,96.19,0.0679,0.1283
89,12210,12221,12222,13,2016-02-04,2016-02-15,2016-02-16,1.6425,2.7033,0.4733,21.3525,0.4823,1.5509,0.4761,6.2699,17.9754,19.08,0.4913,233.68,0.1242,1.1102
90,12227,12231,12232,6,2016-02-21,2016-02-25,2016-02-26,1.4533,1.7314,0.1798,8.7196,0.2876,0.5604,0.1794,1.7259,17.7583,18.01,0.1826,106.55,0.123,0.4036
91,12300,12306,12317,18,2016-05-04,2016-05-10,2016-05-21,1.2662,1.6297,0.2319,22.791,0.4334,0.798,0.2339,7.8014,13.9717,14.5,0.4241,251.49,0.1456,0.0676
92,12357,12363,12376,20,2016-06-30,2016-07-06,2016-07-19,1.4481,2.2277,0.4092,28.9627,0.5165,1.2578,0.3813,10.3307,12.0205,12.87,0.4875,240.41,0.187,0.0954
93,12413,12416,12417,5,2016-08-25,2016-08-28,2016-08-29,1.2891,1.7255,0.2836,6.4454,0.4477,0.8815,0.283,2.2386,11.472,11.92,0.2868,57.36,0.2374,0.66
94,12451,12452,12455,5,2016-10-02,2016-10-03,2016-10-06,0.9142,0.9996,0.064,4.5712,0.0944,0.1769,0.0621,0.4722,11.87,11.92,0.0583,59.35,0.1956,0.0655
95,12601,12602,12605,5,2017-03-01,2017-03-02,2017-03-05,1.3082,1.3624,0.0766,6.541,0.1799,0.2419,0.0659,0.8993,17.378,17.47,0.123,86.89,0.0841,0.0878
96,12816,12822,12823,8,2017-10-02,2017-10-08,2017-10-09,1.1992,1.3279,0.1117,9.5937,0.3839,0.5208,0.1176,3.0714,12.21,12.43,0.183,97.68,0.0695,0.2537
97,12834,12844,12851,18,2017-10-20,2017-10-30,2017-11-06,1.6617,3.1773,0.7818,29.9115,0.759,2.2532,0.7581,13.6626,13.7767,15.38,0.9423,247.98,0.2209,0.3033
98,12862,12885,12901,40,2017-11-17,2017-12-10,2017-12-26,2.7296,4.7047,1.0281,109.1824,1.6684,3.6222,1.0197,66.7361,16.7243,18.87,1.3233,668.97,0.1561,0.1865
99,12918,12930,12937,20,2018-01-12,2018-01-24,2018-01-31,2.4571,3.624,0.6611,49.1429,1.2452,2.4378,0.6841,24.9044,18.4125,19.66,0.7631,368.25,0.2081,0.315
100,12947,12950,12956,10,2018-02-10,2018-02-13,2018-02-19,1.6722,1.962,0.2266,16.722,0.5181,0.8116,0.2283,5.1809,18.039,18.33,0.2334,180.39,0.2942,0.1883
101,12967,12970,12971,5,2018-03-02,2018-03-05,2018-03-06,1.2877,1.4852,0.1489,6.4383,0.1712,0.3819,0.1568,0.856,17.32,17.48,0.1437,86.6,0.0987,0.3801
102,12995,12999,13002,8,2018-03-30,2018-04-03,2018-04-06,1.2608,1.4173,0.125,10.0867,0.2777,0.4351,0.1245,2.2219,15.8888,16.02,0.1093,127.11,0.0913,0.104
103,13126,13131,13131,6,2018-08-08,2018-08-13,2018-08-13,1.1057,1.4874,0.2881,6.6342,0.3196,0.7026,0.2902,1.9177,11.2017,11.58,0.2845,67.21,0.1282,0.8018
104,13140,13142,13146,7,2018-08-22,2018-08-24,2018-08-28,1.2324,1.4495,0.1783,8.627,0.3961,0.615,0.1794,2.7726,11.3943,11.6,0.173,79.76,0.2119,0.1401
105,13161,13166,13169,9,2018-09-12,2018-09-17,2018-09-20,1.0997,1.2182,0.0859,9.8969,0.1779,0.2946,0.0862,1.6014,11.6122,11.75,0.1069,104.51,0.0379,0.075
106,13221,13225,13227,7,2018-11-11,2018-11-15,2018-11-17,1.372,1.8394,0.3007,9.6043,0.4042,0.8708,0.3004,2.8294,14.2986,14.81,0.3739,100.09,0.2602,0.2913
107,13247,13281,13284,38,2018-12-07,2019-01-10,2019-01-13,1.9882,2.8677,0.5056,75.5525,0.7775,1.5964,0.4841,29.5443,16.9134,18.48,0.9022,642.71,0.0654,0.4073
108,13288,13289,13293,6,2019-01-17,2019-01-18,2019-01-22,1.5662,1.9339,0.2565,9.3973,0.3485,0.7025,0.2433,2.0908,17.4767,17.8,0.2157,104.86,0.3263,0.1813
109,13298,13301,13302,5,2019-01-27,2019-01-30,2019-01-31,2,2.5507,0.4843,10.0002,0.8195,1.37,0.4841,4.0974,18.148,18.72,0.5049,90.74,0.3815,0.8527
110,13347,13355,13361,15,2019-03-17,2019-03-25,2019-03-31,1.5537,1.9636,0.1889,23.3058,0.5135,0.9258,0.2,7.7028,16.6707,17.03,0.246,250.06,0.1001,0.1446
111,13415,13417,13422,8,2019-05-24,2019-05-26,2019-05-31,1.1889,1.3589,0.1041,9.511,0.3663,0.5325,0.1005,2.9306,13.1263,13.37,0.2025,105.01,0.1402,0.0892
112,13441,13445,13445,5,2019-06-19,2019-06-23,2019-06-23,1.0747,1.153,0.0752,5.3733,0.1202,0.1889,0.0751,0.6009,12.034,12.12,0.0847,60.17,0.0371,0.3161
113,13462,13464,13467,6,2019-07-10,2019-07-12,2019-07-15,1.091,1.1997,0.1072,6.5457,0.1825,0.2975,0.1167,1.095,11.6017,11.72,0.0993,69.61,0.118,0.0908
114,13500,13501,13505,6,2019-08-17,2019-08-18,2019-08-22,1.0623,1.1516,0.0999,6.3737,0.2474,0.3449,0.1068,1.4847,11.18,11.26,0.0927,67.08,0.1292,0.0743
115,13601,13605,13606,6,2019-11-26,2019-11-30,2019-12-01,1.3273,1.462,0.0971,7.9638,0.3695,0.494,0.0864,2.2169,14.8967,15.11,0.175,89.38,0.0837,0.289
116,13614,13617,13618,5,2019-12-09,2019-12-12,2019-12-13,1.269,1.4968,0.205,6.3452,0.1784,0.3993,0.2016,0.8919,15.488,15.77,0.2434,77.44,0.12,0.2793
117,13683,13684,13687,5,2020-02-16,2020-02-17,2020-02-20,1.3441,1.5138,0.1434,6.7206,0.1875,0.3572,0.1428,0.9377,17.714,17.89,0.1454,88.57,0.364,0.0931
118,13933,13936,13949,17,2020-10-23,2020-10-26,2020-11-08,1.6788,2.5326,0.5689,28.5391,0.7568,1.6535,0.6031,12.8663,13.9271,14.51,0.358,236.76,0.3965,0.1155
