lon,lat,year,max_intensity
150.125,-54.875,2016,131.7536
150.125,-54.625,2016,170.7696
150.125,-54.375,2020,192.4244
150.125,-54.125,2020,229.2066
150.125,-53.875,2020,290.3774
150.125,-53.625,2020,281.2427
150.125,-53.375,2020,251.7295
150.125,-53.125,2020,210.0624
150.125,-52.875,2018,77.1759
150.125,-52.625,2014,88.5216
150.125,-52.375,1985,84.331
150.125,-52.125,2012,96.3718
150.125,-51.875,2012,103.4348
150.125,-51.625,2012,105.7971
150.125,-51.375,2012,135.7158
150.125,-51.125,2012,128.2017
150.125,-50.875,2012,120.6451
150.125,-50.625,2012,113.2819
150.125,-50.375,2012,107.3003
150.125,-50.125,2012,105.7658
150.125,-49.875,2012,112.6599
150.125,-49.625,2012,112.3183
150.125,-49.375,2016,81.6257
150.125,-49.125,2017,86.5581
150.125,-48.875,2017,110.6666
150.125,-48.625,2017,125.4228
150.125,-48.375,2017,137.8772
150.125,-48.125,2017,142.96190000000001
150.125,-47.875,2017,112.5325
150.125,-47.625,2013,133.9606
150.125,-47.375,2013,123.8809
150.125,-47.125,2018,112.888
150.125,-46.875,2018,126.5535
150.125,-46.625,2017,184.9163
150.125,-46.375,2016,340.376
150.125,-46.125,2016,601.4694
150.125,-45.875,2016,648.8987
150.125,-45.625,2016,631.7843
150.125,-45.375,2016,459.9307
150.125,-45.125,2016,500.2145
150.125,-44.875,2015,512.9067
150.125,-44.625,2015,536.5916
150.125,-44.375,2015,539.5288
150.125,-44.125,2015,412.6695
150.125,-43.875,2016,399.4726
150.125,-43.625,2016,469.5781
150.125,-43.375,2016,316.2017
150.125,-43.125,2016,316.0296
150.125,-42.875,2016,452.6995
150.125,-42.625,2016,445.1291
150.125,-42.375,2016,405.4834
150.125,-42.125,2015,403.3373
150.125,-41.875,2015,397.3387
150.125,-41.625,2015,389.0362
150.125,-41.375,2015,390.8722
150.125,-41.125,2015,401.1343
150.125,-40.875,2015,363.5001
150.125,-40.625,2016,270.4733
150.125,-40.375,2016,246.7244
150.125,-40.125,2015,228.4441
150.125,-39.875,2015,224.1507
150.125,-39.625,2015,196.6343
150.125,-39.375,2017,235.1071
150.125,-39.125,2015,186.7352
150.125,-38.875,2015,173.3476
150.125,-38.625,2015,174.2242
150.125,-38.375,2015,198.6907
150.125,-38.125,2015,215.5964
150.125,-37.875,2015,213.4322
150.125,-37.625,2015,208.2272
150.125,-37.375,2015,208.8275
150.125,-37.125,2014,204.5634
150.125,-36.875,2014,208.5701
150.125,-36.625,2015,219.9327
150.125,-36.375,2015,227.2248
150.125,-36.125,2015,234.0984
150.375,-54.875,2016,151.115
150.375,-54.625,2016,146.8019
150.375,-54.375,2020,185.6271
150.375,-54.125,2020,226.0419
150.375,-53.875,2020,288.209
150.375,-53.625,2020,283.9486
150.375,-53.375,2020,253.5536
150.375,-53.125,2020,208.7754
150.375,-52.875,1985,93.4681
150.375,-52.625,2014,95.264
150.375,-52.375,2014,87.7448
150.375,-52.125,2003,100.0487
150.375,-51.875,2017,125.6339
150.375,-51.625,2017,123.566
150.375,-51.375,2012,137.7548
